"Titian serambut dibelah tudjuh",(1959),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Istana yang hilang",(1960),"",""
"Dara kembar",(1960),"",""
"Lahirnja gatotkatja",(1960),"",""
"Mak tjomblang",(1960),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Tak terduga",(1960),"",""
"Gadis manis dipinggir djalan",(1960),"",""
"Gadis diseberang djalan",(1960),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Teruna djenaka",(1960),"",""
"Gaja remadja",(1960),"Comedy","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Laruik Sandjo",(1960),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Pedjuang",(1961),"",""
"Korban Fitnah",(1961),"Crime,Drama,Romance","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Mira",(1961),"",""
"1000 langkah",(1961),"",""
"Kasih tak sampai",(1961),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Detik-detik berbahaja",(1961),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Darmawisata",(1961),"Drama,Romance","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Pagar Kawat Berduri",(1961),"Drama","https://m.media-amazon.com/images/M/MV5BMjZjODEzZWItZDE5Ni00NDg5LWFmZTktMTI0MGI2M2ZmMTdlXkEyXkFqcGdeQXVyNzY2NDA2MjM@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Toha, Pahlawan Bandung Selatan",(1961),"War","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Amor dan Humor",(1961),"Comedy,Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Holiday in Bali",(1962),"Comedy","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Badai-Selatan",(1962),"Drama,Horror","https://m.media-amazon.com/images/M/MV5BYjNhOTkwMGUtM2VmZi00MGM1LTg2OTUtOTA2NjQ0N2Y1NDJmXkEyXkFqcGdeQXVyMjM5NDM1MTE@._V1_UY98_CR3,0,67,98_AL_.jpg"
"Akce Kalimantan",(1962),"Action,Drama,War","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Violetta",(1962),"",""
"Dkn 901",(1962),"",""
"Hadiah 2.000.000",(1962),"",""
"Bajangan Diwaktu Fadjar",(1962),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Anak Perawan di Sarang Penjamun",(1962),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Si djimat",(1963),"",""
"Masa topan dan badai",(1963),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Antara timur dan barat",(1963),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Maut mendjelang magrib",(1963),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Kartika aju",(1963),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Daerah Tak Bertuan",(1963),"War","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"KK 17",(1964),"",""
"Rima bergema",(1964),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Tauhid",(1964),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Pilihan Hati",(1964),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Anak-Anak Revolusi",(1964),"War","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Matjan Kemajoran",(1965),"",""
"Minah gadis dusun",(1965),"",""
"Takkan lari gunung dikedjar",(1965),"",""
"Operasi hansip 13",(1965),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Madju tak gentar",(1965),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Liburan Seniman",(1965),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"No man's land",(1965),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Suzie",(1966),"",""
"Terpesona",(1966),"",""
"Belaian kasih",(1966),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Hantjurnya petualang",(1966),"Drama","https://m.media-amazon.com/images/G/01/imdb/images/nopicture/67x98/film-2500266839._CB470041825_.png"
"Piduguramudu",(1966),"",""
